design_id,Ro_nm,Rc_over_Ro,Rc_nm,Lc_nm,Lc_over_W,rTJ_over_Rc,rTJ0_nm,theta_center0_deg,theta_outer0_deg,center_curvature0_per_um,outer_curvature0_per_um,kRc_center,kRo_outer,sigma0_MPa,sigma20_MPa,max_sigma_MPa,available_stress_increase_MPa,delta_sigma_curvature_MPa,delta_sigma_angle_MPa,delta_sigma_radius_MPa,minimum_dsigma_dx_MPa,tau0_s,tau20_s,x_to_20MPa,x_to_25MPa,x_to_30MPa,x_to_tau3s,resolution_margin,rTJ20_over_W,rTJ20_nm,x_contact_zero,x_to_6W,loss_fraction_margin_after_20pct_to_6W
Ro120_q0.85_L16W_r0.80_th165_k0.50,120.00000000000001,0.85,102.00000000000001,64.0,16.0,0.8,81.60000000000002,165.0,165.0,4.901960784313725,4.166666666666666,0.5,0.5,31.91586500148812,53.739692819052706,53.739692819052706,21.823827817564588,-3.585056033857599,-0.8348105672767041,26.25010845848415,51.65110372996111,10.01656558637097,10.061147671668646,0.0,0.0,0.0,nan,1.9706439302928371,11.823863581757024,47.2954543270281,0.30117647058823527,0.2751231426826787,0.07512314268267867
Ro120_q0.85_L16W_r1.00_th135_k0.25,120.00000000000001,0.85,102.00000000000001,64.0,16.0,1.0,102.00000000000001,135.0,135.0,2.4509803921568625,2.083333333333333,0.25,0.25,24.905770564057445,30.36872970857269,30.36872970857269,5.462959144515246,-1.4041095688632086,-1.5828272313549745,8.44980743603228,20.47470048443939,10.00183119275513,11.066796237407882,0.0,0.004574335877181275,0.189771046693582,nan,2.0,19.336332382331452,77.34532952932581,0.4705882352941176,0.44453490738856094,0.24453490738856093
Ro120_q0.85_L20W_r0.80_th165_k0.50,120.00000000000001,0.85,102.00000000000001,80.0,20.0,0.8,81.60000000000002,165.0,165.0,4.901960784313725,4.166666666666666,0.5,0.5,31.91586500148812,45.963764035389666,45.963764035389666,14.047899033901547,-2.2350756515939363,-0.4316863128989813,16.716434240453196,41.32107918216766,10.01656558637097,10.132410515986411,0.0,0.0,0.0,nan,2.3278208693969558,13.966925216381737,55.86770086552695,0.3764705882352941,0.34390392835334826,0.14390392835334825
Ro120_q0.85_L20W_r1.00_th135_k0.25,120.00000000000001,0.85,102.00000000000001,80.0,20.0,1.0,102.00000000000001,135.0,135.0,2.4509803921568625,2.083333333333333,0.25,0.25,24.905770564057445,28.996636604936434,28.996636604936434,4.090866040878989,-0.9894057248584225,-1.0844503743327036,6.164698441663326,16.37951574113038,10.00183119275513,10.774318904651087,0.0,0.005717860529363613,nan,nan,2.5,20.7162979318217,82.8651917272868,0.5882352941176471,0.5556686342357012,0.3556686342357012
Ro120_q0.85_L24W_r0.60_th170_k0.75,120.00000000000001,0.85,102.00000000000001,96.00000000000001,24.0,0.6,61.2,170.0,170.0,7.352941176470587,6.249999999999999,0.75,0.75,42.03160284763458,89.2750515743942,89.2750515743942,47.24344872675962,-8.308159166706458,-1.1142401989493997,56.708191745479226,81.78763949831334,10.169955241136485,8.908624551630526,0.0,0.0,0.0,nan,1.1767717139133933,7.06063028348036,28.24252113392144,0.25411764705882345,0.21503765520048848,0.01503765520048847
Ro120_q0.85_L24W_r0.80_th165_k0.50,120.00000000000001,0.85,102.00000000000001,96.00000000000001,24.0,0.8,81.60000000000002,165.0,165.0,4.901960784313725,4.166666666666666,0.5,0.5,31.91586500148812,42.33115489921819,42.33115489921819,10.415289897730073,-1.6346217761799717,-0.2876205405028969,12.338280855325936,34.43432254251926,10.01656558637097,10.141879148937432,0.0,0.0,0.0,nan,2.5381669895155965,15.22900193709358,60.91600774837432,0.451764705882353,0.41268471402401796,0.21268471402401795
Ro120_q0.85_L24W_r1.00_th135_k0.25,120.00000000000001,0.85,102.00000000000001,96.00000000000001,24.0,1.0,102.00000000000001,135.0,135.0,2.4509803921568625,2.083333333333333,0.25,0.25,24.905770564057445,28.176714849719588,28.176714849719588,3.270944285662143,-0.7634851617054822,-0.8233762276383898,4.857797278177728,13.649486787099738,10.00183119275513,10.609492402634524,0.0,0.006860282597336538,nan,nan,3.0,21.587322668640503,86.34929067456201,0.7058823529411765,0.6668023610828414,0.4668023610828414
Ro120_q0.85_L24W_r1.00_th170_k0.50,120.00000000000001,0.85,102.00000000000001,96.00000000000001,24.0,1.0,102.00000000000001,170.0,170.0,4.901960784313725,4.166666666666666,0.5,0.5,24.765530336031727,29.191947911358625,29.191947911358625,4.426417575326898,-0.8323467292186671,-0.0479876072077931,5.306854309778101,17.352655259697393,10.049943097304801,10.276985284322805,0.0,0.01331654419478195,nan,nan,3.0,21.587322668640503,86.34929067456201,0.7058823529411765,0.6668023610828414,0.4668023610828414
Ro150_q0.45_L10W_r0.80_th170_k0.75,150.00000000000003,0.45,67.50000000000001,40.0,10.0,0.8,54.000000000000014,170.0,170.0,11.111111111111107,4.999999999999999,0.75,0.75,47.2885943384303,85.68555435035675,85.68555435035675,38.39696001192645,-6.94051075097669,-0.7174243992375695,46.07188111617748,82.21416827668139,10.164741849078206,9.042942637388723,0.0,0.0,0.0,nan,1.2259403278708143,7.355641967224886,29.42256786889955,0.28444444444444444,0.2282578875171468,0.02825788751714678
Ro150_q0.55_L10W_r0.80_th170_k0.75,150.00000000000003,0.55,82.50000000000001,40.0,10.0,0.8,66.00000000000003,170.0,170.0,9.09090909090909,4.999999999999999,0.75,0.75,38.23612264053387,98.74497951951038,98.74497951951038,60.50885687897651,-12.316421200331844,-2.003899713767054,74.94606480037098,81.2597617361941,10.39023455050876,8.831175519775508,0.0,0.0,0.0,nan,1.03125,6.1875,24.750000000000004,0.23272727272727275,0.20195341848234413,0.0019534184823441214
Ro150_q0.55_L12W_r0.80_th135_k0.25,150.00000000000003,0.55,82.50000000000001,48.00000000000001,12.0,0.8,66.00000000000003,135.0,135.0,3.03030303030303,1.6666666666666665,0.25,0.25,39.646039356573624,58.54693503780205,58.54693503780205,18.900895681228427,-6.469410393906695,-8.867772969157707,34.23171501693117,54.48341517047339,10.016071812038588,12.250292503017402,0.0,0.0,0.0,nan,1.465144066437382,8.790864398624294,35.163457594497174,0.2792727272727273,0.24234410217881294,0.04234410217881293
Ro150_q0.55_L12W_r0.80_th150_k0.50,150.00000000000003,0.55,82.50000000000001,48.00000000000001,12.0,0.8,66.00000000000003,150.0,150.0,6.06060606060606,3.333333333333333,0.5,0.5,39.20874967980612,65.5712955122431,65.5712955122431,26.36254583243698,-5.961088364634371,-4.845622840843998,37.171081833104665,63.11395706310788,10.129769628146533,10.686931960052705,0.0,0.0,0.0,nan,1.465144066437382,8.790864398624294,35.163457594497174,0.2792727272727273,0.24234410217881294,0.04234410217881293
Ro150_q0.55_L12W_r0.80_th170_k0.75,150.00000000000003,0.55,82.50000000000001,48.00000000000001,12.0,0.8,66.00000000000003,170.0,170.0,9.09090909090909,4.999999999999999,0.75,0.75,38.23612264053387,70.80789019337799,70.80789019337799,32.571767552844115,-6.34357979930084,-0.6352603685121243,39.56627519027123,67.71682707277563,10.39023455050876,9.710499205751077,0.0,0.0,0.0,nan,1.465144066437382,8.790864398624294,35.163457594497174,0.2792727272727273,0.24234410217881294,0.04234410217881293
Ro150_q0.55_L24W_r1.00_th170_k0.50,150.00000000000003,0.55,82.50000000000001,96.00000000000001,24.0,1.0,82.50000000000001,170.0,170.0,6.06060606060606,3.333333333333333,0.5,0.5,31.528292051821044,35.85100299065473,35.85100299065473,4.3227109388336835,-0.6657396634988728,-0.04373551026688168,5.032249246821473,17.861611978000564,10.021215140967909,10.093126551384644,0.0,0.0,0.0,nan,3.0,18.108154887715646,72.43261955086258,0.8727272727272725,0.798870022539444,0.5988700225394439
Ro150_q0.65_L12W_r0.80_th170_k0.75,150.00000000000003,0.65,97.50000000000001,48.00000000000001,12.0,0.8,78.00000000000003,170.0,170.0,7.692307692307691,4.999999999999999,0.75,0.75,31.96902684968251,79.25886342832473,79.25886342832473,47.28983657864222,-10.205842455989467,-1.4762217851177577,59.04858792476165,66.92169498173008,10.462517446432924,9.656269096874524,0.0,0.0,0.0,nan,1.2739246895257716,7.64354813715463,30.574192548618523,0.2363076923076923,0.2139353664087392,0.013935366408739186
Ro150_q0.65_L24W_r0.60_th165_k0.75,150.00000000000003,0.65,97.50000000000001,96.00000000000001,24.0,0.6,58.50000000000001,165.0,165.0,7.692307692307691,4.999999999999999,0.75,0.75,44.497172378144114,86.1599409721427,86.1599409721427,41.66276859399859,-7.123989506036999,-1.9764376549767584,50.786088186829424,81.58307796882099,10.018825501798862,9.070652788222628,0.0,0.0,0.0,nan,1.2130945170478946,7.278567102287369,29.114268409149474,0.2658461538461538,0.22110150204824752,0.02110150204824751
Ro150_q0.75_L16W_r0.80_th170_k0.75,150.00000000000003,0.75,112.50000000000001,64.0,16.0,0.8,90.00000000000001,170.0,170.0,6.666666666666666,4.999999999999999,0.75,0.75,27.373156603058185,52.17177937499714,52.17177937499714,24.79862277193896,-5.540617878363129,-0.5161860171877966,30.86855646396213,49.595206914364844,10.44412922727986,10.571190070887225,0.0,0.0,0.04619699084034757,nan,1.9397982840523649,11.63878970431419,46.55515881725676,0.2730666666666667,0.2536485925925926,0.05364859259259258
Ro150_q0.75_L20W_r0.80_th150_k0.50,150.00000000000003,0.75,112.50000000000001,80.0,20.0,0.8,90.00000000000001,150.0,150.0,4.444444444444444,3.333333333333333,0.5,0.5,28.30863865408005,41.16544133994832,41.16544133994832,12.856802685868274,-2.7690266438386906,-1.8417211688785367,17.468356245962287,37.347797152773026,10.136708933663915,10.982172671223829,0.0,0.0,0.041523182286269285,nan,2.4130383142938276,14.478229885762968,57.91291954305188,0.3413333333333333,0.31706074074074075,0.11706074074074074
Ro150_q0.75_L20W_r0.80_th170_k0.75,150.00000000000003,0.75,112.50000000000001,80.0,20.0,0.8,90.00000000000001,170.0,170.0,6.666666666666666,4.999999999999999,0.75,0.75,27.373156603058185,42.226582556375845,42.226582556375845,14.853425953317661,-3.2714990199968668,-0.22975208864379829,18.357436271426344,39.67620697535091,10.44412922727986,10.695401481215475,0.0,0.0,0.05774885371301505,nan,2.4130383142938276,14.478229885762968,57.91291954305188,0.3413333333333333,0.31706074074074075,0.11706074074074074
Ro150_q0.75_L24W_r0.60_th170_k0.75,150.00000000000003,0.75,112.50000000000001,96.00000000000001,24.0,0.6,67.5,170.0,170.0,6.666666666666666,4.999999999999999,0.75,0.75,38.44198658185535,102.13981347930368,102.13981347930368,63.69782689744833,-11.04776944817679,-2.16318855317747,77.05024350975751,82.49369697878046,10.104562402118182,8.494268406342966,0.0,0.0,0.0,nan,1.0216169398923451,6.129701639354071,24.518806557416287,0.2304,0.2012728888888889,0.001272888888888879
Ro150_q0.75_L24W_r0.80_th150_k0.50,150.00000000000003,0.75,112.50000000000001,96.00000000000001,24.0,0.8,90.00000000000001,150.0,150.0,4.444444444444444,3.333333333333333,0.5,0.5,28.30863865408005,37.80898386665051,37.80898386665051,9.500345212570458,-1.9395701795240314,-1.1859575666282494,12.626275722310783,31.122915192297754,10.136708933663915,10.772285999550736,0.0,0.0,0.04984056991259798,nan,2.682544486467093,16.095266918802558,64.38106767521025,0.4096,0.3804728888888889,0.1804728888888889
Ro150_q0.75_L24W_r0.80_th170_k0.75,150.00000000000003,0.75,112.50000000000001,96.00000000000001,24.0,0.8,90.00000000000001,170.0,170.0,6.666666666666666,4.999999999999999,0.75,0.75,27.373156603058185,38.075254438026725,38.075254438026725,10.70209783496854,-2.344992002021926,-0.1448614430744013,13.193003286011962,33.06352692232607,10.44412922727986,10.696737644582406,0.0,0.0,0.0693115843395688,nan,2.682544486467093,16.095266918802558,64.38106767521025,0.4096,0.3804728888888889,0.1804728888888889
Ro150_q0.85_L16W_r0.80_th150_k0.50,150.00000000000003,0.85,127.50000000000003,64.0,16.0,0.8,102.00000000000003,150.0,150.0,3.92156862745098,3.333333333333333,0.5,0.5,24.782132145756904,49.1510534165062,49.1510534165062,24.368921270749297,-7.071885936495238,-6.648924483510196,38.086846315317054,46.36099913914704,10.044226926918096,12.51241412611068,0.0,0.004633682147058627,0.08492855156813625,nan,1.7519171975831231,10.51150318549874,42.046012741994964,0.24094117647058824,0.22760187258294326,0.02760187258294325
Ro150_q0.85_L16W_r0.80_th170_k0.75,150.00000000000003,0.85,127.50000000000003,64.0,16.0,0.8,102.00000000000003,170.0,170.0,5.882352941176469,4.999999999999999,0.75,0.75,23.85866759093369,56.46552251709279,56.46552251709279,32.6068549261591,-7.91772509424073,-0.9627670268785222,41.52993650220822,48.99905187138705,10.370867831159458,10.689169347759682,0.0,0.021703083311336198,0.08946463818082621,nan,1.7519171975831231,10.51150318549874,42.046012741994964,0.24094117647058824,0.22760187258294326,0.02760187258294325
Ro150_q0.85_L20W_r0.80_th150_k0.50,150.00000000000003,0.85,127.50000000000003,80.0,20.0,0.8,102.00000000000003,150.0,150.0,3.92156862745098,3.333333333333333,0.5,0.5,24.782132145756904,39.07202830226506,39.07202830226506,14.289896156508156,-3.3650629103267806,-2.3733828589138004,20.0294065023348,37.08803036502604,10.044226926918096,11.348898165942256,0.0,0.005790415608751077,0.10614782314279929,nan,2.4633049128660467,14.779829477196282,59.11931790878513,0.3011764705882353,0.284502340728679,0.08450234072867902
Ro150_q0.85_L20W_r0.80_th170_k0.75,150.00000000000003,0.85,127.50000000000003,80.0,20.0,0.8,102.00000000000003,170.0,170.0,5.882352941176469,4.999999999999999,0.75,0.75,23.85866759093369,40.748746863499804,40.748746863499804,16.890079272566116,-3.9901229685459145,-0.3036891151047424,21.18913563976197,39.199194898688695,10.370867831159458,10.871685690077063,0.0,0.027136146061370974,0.111822351793526,nan,2.4633049128660467,14.779829477196282,59.11931790878513,0.3011764705882353,0.284502340728679,0.08450234072867902
Ro150_q0.85_L24W_r0.80_th150_k0.50,150.00000000000003,0.85,127.50000000000003,96.00000000000001,24.0,0.8,102.00000000000003,150.0,150.0,3.92156862745098,3.333333333333333,0.5,0.5,24.782132145756904,34.989603901555284,34.989603901555284,10.20747175579838,-2.2333357872002777,-1.3997527788608501,13.841126267063428,30.906353481403837,10.044226926918096,10.982693823544754,0.0,0.0069463614895627,0.12737790802148857,nan,2.8402422276028387,17.041453365617034,68.16581346246814,0.3614117647058824,0.3414028088744149,0.14140280887441486
Ro150_q0.85_L24W_r0.80_th170_k0.75,150.00000000000003,0.85,127.50000000000003,96.00000000000001,24.0,0.8,102.00000000000003,170.0,170.0,5.882352941176469,4.999999999999999,0.75,0.75,23.85866759093369,35.47404459772397,35.47404459772397,11.615377006790279,-2.7239374950388457,-0.1732207144356749,14.514244708452257,32.665978729688014,10.370867831159458,10.836488456513514,0.0,0.03256920509629013,0.13420331424947105,nan,2.8402422276028387,17.041453365617034,68.16581346246814,0.3614117647058824,0.3414028088744149,0.14140280887441486
