r_TJ_nm,r_TJ_over_W,maximum_convex_contact_stress_MPa,minimum_two_contact_wait_s
76.0,19.0,39.47368421052631,8.736870816239364
76.5,19.125,39.2156862745098,8.737839135581359
77.0,19.25,38.96103896103896,8.738656725998519
77.5,19.375,38.70967741935484,8.739326697808455
78.0,19.5,38.46153846153845,8.739852091995823
78.5,19.625,38.21656050955413,8.740235882004551
79.0,19.75,37.974683544303794,8.740480975478011
79.5,19.875,37.735849056603776,8.740590215946204
80.0,20.0,37.5,8.740566384463827
80.5,20.125,37.26708074534161,8.740412201199195
81.0,20.25,37.03703703703703,8.740130326977672
81.5,20.375,36.80981595092024,8.73972336477859
82.0,20.5,36.58536585365853,8.739193861189623
82.5,20.625,36.36363636363636,8.738544307818652
83.0,20.75,36.14457831325301,8.737777142664406
83.5,20.875,35.928143712574844,8.736894751448474
84.0,21.0,35.71428571428571,8.735899468908535
84.5,21.125,35.50295857988165,8.734793580054774
85.0,21.25,35.29411764705882,8.733579321391051
85.5,21.375,35.08771929824561,8.732258882100757
86.0,21.5,34.883720930232556,8.730834405199845
86.5,21.625,34.68208092485549,8.72930798865732
87.0,21.75,34.48275862068965,8.7276816864841
87.5,21.875,34.285714285714285,8.725957509792025
88.0,22.0,34.090909090909086,8.72413742782321
88.5,22.125,33.89830508474576,8.722223368950793
89.0,22.25,33.70786516853932,8.720217221652547
89.5,22.375,33.5195530726257,8.718120835457377
90.0,22.5,33.33333333333333,8.715936021866328
90.5,22.625,33.14917127071823,8.713664555248267
91.0,22.75,32.967032967032964,8.711308173711155
91.5,22.875,32.78688524590164,8.708868579950341
92.0,23.0,32.60869565217391,8.70634744207354
92.5,23.125,32.43243243243243,8.703746394403831
93.0,23.25,32.258064516129025,8.701067038261355
93.5,23.375,32.085561497326196,8.69831094272395
94.0,23.5,31.91489361702127,8.695479645367858
94.5,23.625,31.74603174603174,8.692574652988876
95.0,23.75,31.57894736842105,8.689597442304546
95.5,23.875,31.413612565445025,8.686549460637606
96.0,24.0,31.249999999999996,8.683432126581993
96.5,24.125,31.0880829015544,8.680246830651626
97.0,24.25,30.927835051546385,8.676994935911695
97.5,24.375,30.769230769230766,8.673677778594584
98.0,24.5,30.612244897959183,8.670296668699066
98.5,24.625,30.45685279187817,8.666852890574711
99.0,24.75,30.303030303030305,8.663347703491263
99.5,24.875,30.150753768844215,8.659782342193289
100.0,25.0,29.999999999999996,8.656158017440921
100.5,25.125,29.850746268656714,8.65247591653715
101.0,25.25,29.702970297029697,8.648737203841364
101.5,25.375,29.556650246305416,8.644943021270334
102.0,25.5,29.41176470588235,8.641094488786761
102.5,25.625,29.268292682926823,8.637192704875137
103.0,25.75,29.126213592233004,8.63323874700666
103.5,25.875,28.98550724637681,8.629233672091393
104.0,26.0,28.846153846153843,8.625178516920728
104.5,26.125,28.708133971291865,8.621074298597817
105.0,26.25,28.57142857142857,8.61692201495791
105.5,26.375,28.43601895734597,8.612722644978646
106.0,26.5,28.301886792452827,8.608477149179805
106.5,26.625,28.16901408450704,8.604186470013898
107.0,26.75,28.037383177570092,8.599851532247204
107.5,26.875,27.906976744186046,8.595473243331055
108.0,27.0,27.777777777777775,8.591052493765336
108.5,27.125,27.649769585253452,8.58659015745209
109.0,27.25,27.52293577981651,8.58208709204154
109.5,27.375,27.3972602739726,8.577544139269579
110.0,27.5,27.27272727272727,8.572962125287006
110.5,27.625,27.149321266968325,8.568341860981691
111.0,27.75,27.027027027027025,8.563684142292205
111.5,27.875,26.905829596412552,8.558989750515073
112.0,28.0,26.78571428571428,8.554259452603965
112.5,28.125,26.666666666666664,8.549494001462683
113.0,28.25,26.54867256637168,8.544694136230806
113.5,28.375,26.431718061674005,8.539860582562822
114.0,28.5,26.31578947368421,8.53499405290094
114.5,28.625,26.20087336244541,8.530095246741633
115.0,28.75,26.08695652173913,8.525164850896008
115.5,28.875,25.97402597402597,8.520203539743978
116.0,29.0,25.862068965517242,8.515211975483162
116.5,29.125,25.75107296137339,8.510190808371766
117.0,29.25,25.64102564102564,8.505140676965759
117.5,29.375,25.531914893617017,8.500062208351371
118.0,29.5,25.42372881355932,8.494956018371706
118.5,29.625,25.31645569620253,8.48982271184848
119.0,29.75,25.21008403361344,8.484662882798926
119.5,29.875,25.10460251046025,8.47947711464764
120.0,30.0,24.999999999999996,8.474265980433934
120.5,30.125,24.896265560165975,8.46903004301453
121.0,30.25,24.793388429752063,8.463769855261432
121.5,30.375,24.691358024691358,8.458485960256063
122.0,30.5,24.59016393442623,8.453178891478556
122.5,30.625,24.489795918367342,8.447849172993124
123.0,30.75,24.390243902439025,8.442497319629629
123.5,30.875,24.2914979757085,8.43712383716079
124.0,31.0,24.193548387096772,8.431729222475472
124.5,31.125,24.096385542168672,8.426313963748855
125.0,31.25,23.999999999999996,8.420878540608305
125.5,31.375,23.90438247011952,8.415423424295847
126.0,31.5,23.809523809523807,8.409949077827184
126.5,31.625,23.715415019762844,8.404455956147515
127.0,31.75,23.622047244094485,8.398944506283557
127.5,31.875,23.52941176470588,8.393415167492645
128.0,32.0,23.4375,8.387868371408699
128.5,32.125,23.34630350194552,8.382304542185155
129.0,32.25,23.25581395348837,8.376724096634081
129.5,32.375,23.166023166023162,8.371127444364026
130.0,32.5,23.076923076923077,8.365514987912974
130.5,32.625,22.988505747126432,8.359887122880153
131.0,32.75,22.900763358778626,8.354244238054028
131.5,32.875,22.813688212927755,8.348586715538401
132.0,33.0,22.727272727272723,8.34291493087528
132.5,33.125,22.641509433962263,8.3372292531654
133.0,33.25,22.556390977443606,8.331530045186698
133.5,33.375,22.47191011235955,8.325817663509179
134.0,33.5,22.388059701492537,8.320092458609013
134.5,33.625,22.304832713754642,8.314354774979078
135.0,33.75,22.222222222222218,8.308604951237612
135.5,33.875,22.14022140221402,8.30284332023479
136.0,34.0,22.05882352941176,8.297070209156942
136.5,34.125,21.978021978021975,8.2912859396287
137.0,34.25,21.8978102189781,8.285490827813227
137.5,34.375,21.818181818181817,8.279685184510148
138.0,34.5,21.739130434782606,8.273869315251968
138.5,34.625,21.66064981949458,8.268043520397818
139.0,34.75,21.582733812949638,8.262208095226185
139.5,34.875,21.50537634408602,8.256363330024882
140.0,35.0,21.428571428571423,8.250509510180372
140.5,35.125,21.35231316725978,8.244646916263907
141.0,35.25,21.27659574468085,8.238775824117424
141.5,35.375,21.201413427561832,8.232896504936344
142.0,35.5,21.12676056338028,8.227009225351999
142.5,35.625,21.052631578947363,8.221114247511519
143.0,35.75,20.97902097902098,8.215211829156514
143.5,35.875,20.90592334494773,8.209302223700353
144.0,36.0,20.833333333333332,8.203385680303759
144.5,36.125,20.761245674740483,8.197462443948703
145.0,36.25,20.68965517241379,8.19153275551131
145.5,36.375,20.61855670103093,8.185596851833127
146.0,36.5,20.54794520547945,8.179654965791107
146.5,36.625,20.4778156996587,8.173707326365939
147.0,36.75,20.408163265306122,8.167754158709533
147.5,36.875,20.338983050847453,8.16179568421077
148.0,37.0,20.27027027027027,8.155832120560387
148.5,37.125,20.2020202020202,8.149863681814196
149.0,37.25,20.13422818791946,8.143890578455697
149.5,37.375,20.06688963210702,8.137913017456665
150.0,37.5,19.999999999999996,8.131931202337386
150.5,37.625,19.93355481727575,8.125945333225415
151.0,37.75,19.86754966887417,8.119955606913086
151.5,37.875,19.801980198019802,8.113962216914086
152.0,38.0,19.736842105263154,8.107965353519088
152.5,38.125,19.672131147540977,8.101965203850199
153.0,38.25,19.6078431372549,8.095961951914328
153.5,38.375,19.543973941368076,8.089955778655627
154.0,38.5,19.48051948051948,8.083946862007261
154.5,38.625,19.417475728155335,8.077935376941227
155.0,38.75,19.35483870967742,8.0719214955189
155.5,38.875,19.292604501607716,8.065905386938802
156.0,39.0,19.230769230769226,8.059887217585134
156.5,39.125,19.169329073482427,8.05386715107385
157.0,39.25,19.108280254777064,8.04784534829949
157.5,39.375,19.047619047619047,8.0418219674798
158.0,39.5,18.987341772151897,8.035797164200355
158.5,39.625,18.927444794952677,8.029771091457972
159.0,39.75,18.867924528301888,8.02374389970374
159.5,39.875,18.80877742946708,8.01771573688441
160.0,40.0,18.75,8.011686748484232
